GEO,REF_DATE,Statistics,UID,VALUE
"Essex County (Lakeshore), Ontario, Ontario Provincial Police, municipal [35502]",2014,Crime severity index,91,19.45
"Arnprior, Ontario, Ontario Provincial Police, rural [35120]",2010,Crime severity index,,19.52
"Dufferin (Mulmur), Ontario, Ontario Provincial Police, municipal [35163]",2009,Crime severity index,67,19.53
"Upper Ottawa Valley (Laurentian Hills), Ontario, Ontario Provincial Police, municipal [35173]",2007,Crime severity index,,19.55
"Wellington County, Ontario, Ontario Provincial Police, municipal [35073]",2014,Crime severity index,422,19.55
"Dufferin (Mono), Ontario, Ontario Provincial Police, municipal [35026]",2020,Crime severity index,,19.67
"Lanark County (Beckwith), Ontario, Ontario Provincial Police, municipal [35043]",2016,Crime severity index,,19.7
"Huronia West (Springwater), Ontario, Ontario Provincial Police, municipal [35274]",2019,Crime severity index,160,19.72
"Dufferin (Amaranth), Ontario, Ontario Provincial Police, municipal [35160]",2009,Crime severity index,,19.74
"Dufferin (Mulmur), Ontario, Ontario Provincial Police, municipal [35163]",2015,Crime severity index,,19.75
"Central Hastings (Stirling-Rawdon), Ontario, Ontario Provincial Police, municipal [35273]",2016,Crime severity index,,19.76
"North Bay (Bonfield), Ontario, Ontario Provincial Police, municipal [35116]",2015,Crime severity index,253,19.82
"Dufferin (East Garafraxa), Ontario, Ontario Provincial Police, municipal [35129]",2016,Crime severity index,,19.84
"Peterborough County (Douro/Dummer), Ontario, Ontario Provincial Police, municipal [35019]",2015,Crime severity index,,19.89
"Grenville County (North Grenville), Ontario, Ontario Provincial Police, municipal [35494]",2001,Crime severity index,,19.92
"Northumberland (Alnwick/Haldimand), Ontario, Ontario Provincial Police, municipal [35091]",2018,Crime severity index,,19.98
"LaSalle, Ontario, municipal [35388]",2012,Crime severity index,,21.15
"Anishinabek, Ontario, municipal [35006]",2009,Crime severity index,,21.16
"Russell County (Russell), Ontario, Ontario Provincial Police, municipal [35179]",2015,Crime severity index,345,21.17
"East Perth, Ontario, Ontario Provincial Police, municipal [35488]",2001,Crime severity index,82,21.2
"Drummond-North Elmsley, Ontario, Ontario Provincial Police, municipal [35250]",2020,Crime severity index,58,21.29
